text,likes,replies,predicted_stance
How can anyone criticize a people that were attacked first ? CRAZY,85,2,pro-Israel/anti-Hamas
I am from Zimbabwe Africa. We no disrespect to Palestine but what news protestors are telling us Palestine is out electricity water food. But is it just me they don't seem to be running out of bombs. It seems like all the money sent to Palestine was spent on weapons so I am wondering what the protestors think of that fact. Glad I live here think your first world country got a huge problem war on your hands.,312,17,pro-Israel/anti-Hamas
I have yet to hear anyone mentioning the Palestinians responsibility to also fight the Hamas,722,116,pro-Israel/anti-Hamas
Their holy book gives them permission to lie to their enemies to gain advantage.,26,6,pro-Israel/anti-Hamas
Why can't people admit Hamas is evil. And why would Palestine elect them in Gaza ?,192,13,pro-Israel/anti-Hamas
When did they un-learn that you don't negotiate with terrorists?,64,4,pro-Israel/anti-Hamas
"Civilian Palestinians, supposedly harmless, were beating the hostages with clubs. Ok Mcfly..",19,0,pro-Israel/anti-Hamas
they left out the part when she says regular Palestinians beat her.,10,0,pro-Israel/anti-Hamas
"Ahhhh, didn't hostage say they were beaten by civilians, hmmmm.",24,0,pro-Israel/anti-Hamas
I’ve seen comments in the past with Islamics referring to us as sheep saying “wolves don’t concern themselves with the opinions of sheep.” They clearly believe they are superior to anyone nonispamic.,12,0,pro-Israel/anti-Hamas
"As Hamas leadership begins to realize just how dire their situation has become, they will seek to appear more reasonable. Israeli intelligence knows where the Hamas leadership is, they will be dealt with in time.",94,5,pro-Israel/anti-Hamas
Those tunnels are probably so intertwined and like a labyrinth you’ll easily get lost in.,26,2,pro-Israel/anti-Hamas
They wouldn't even get the people out of Afghanistan. What makes you think there trying to get the hostages. Out?,162,11,pro-Israel/anti-Hamas
My heart goes out to all of these victims.,110,6,pro-Israel/anti-Hamas
The fact that Brandon and McConnell are helping out Iran is absolutely disgusting!!!!!! Let's Go Brandon!!!!! TRUMP 2024!!!!!,245,21,pro-Israel/anti-Hamas
"I hate that people were taken as hostages, where those terrorists feel like they are in control, playing with people's lives to get what they want. I am being optimistic they will all be freed, but have to know it's possible those sick, evil terrorists will take more lives. They don't care, we have seen the stories. Prayers for those still missing, hurt and the families missing them.",41,4,pro-Israel/anti-Hamas
Put trump in and hold my beer and watch.,13,0,pro-Israel/anti-Hamas
"Netanyahu is the only world leader I know of who has actually been wounded storming an aircraft actually fighting terrorism. His brother, Yonni, died saving hostages in Entebbe. For the world to lecture him on when or when not to engage Hamas is ludicrous.",2,0,pro-Israel/anti-Hamas
Why do I have a feeling that this elderly mum was trained on what to say? How does she know that the tunnels system are 'spider web'? What if she's complying for the sake of the safety of the rest of the hostages remained? I'm so glad they're safe but there's a question mark?,15,4,pro-Israel/anti-Hamas
Israel has a right to defend itself.,2,0,pro-Israel/anti-Hamas
"The Gaza citizens allowed all this to happen, and if it was successful they all would be celebrating in the streets of GAZA, therefore there are NO innocent civilians!!!!!!",29,4,pro-Israel/anti-Hamas
"Send ground troops,seals,whatever,get the hostages out of there.too much talk and no action ,by the administration. The military is all we have left.sad state of affairs. But look who is running this country.",30,5,pro-Israel/anti-Hamas
We pray for the peace of Jerusalem in Yashua's holy name amen,14,0,pro-Israel/anti-Hamas
Can we just take a minute to enjoy that everything happening in the Biden Era. That is what they feard would happen during Trump Era.Brandon has attained virtually no successes as president. But he has produced a lifetime's worth of major failures in less than a year! Let's go Brandon! Vote Red! Trump 2024!,170,16,pro-Israel/anti-Hamas
A question I have. Why did the peopke of Gaza build their extensive underground network of tunnels? All that effort and building material used for a nefarious purpose. Exit points into Israel. And when this war is over and the naive west sends aid it will be used incorrectly again. Tragic,32,7,pro-Israel/anti-Hamas
Can you fight and win a war with values and beliefs against an enemy that has none?,1,0,pro-Israel/anti-Hamas
Why is no one talking about the six warships the Chinese are sending to the Eastern sea ? The Philippines is showing that on their news ??,10,5,pro-Israel/anti-Hamas
Tell Biden that we cannot just send Money...what good does that do?,10,0,pro-Israel/anti-Hamas
Stop the Genocide in Palestine 🇵🇸,1,0,pro-Israel/anti-Hamas
And civilian all too ?,1,0,pro-Israel/anti-Hamas
"By virtue of the fact that there are all different nationalities, this opens up the possibility of a multi national rescue force, and if so given the scale of the tunnels, I wouldn`t want to be in those tunnels coming up against the British SAS of the Seals...",3,0,pro-Israel/anti-Hamas
"I used to hate FOX, but not anymore. Thank you, FOX, for putting the American interests first!",6,1,pro-Israel/anti-Hamas
Killing other people is such a crazy thing to do,1,0,pro-Israel/anti-Hamas
It didn't start in the 80s and 90s. Palestinans were hijacking planes way before that.,3,1,pro-Israel/anti-Hamas
You should tell your audience what said this free old lady!,12,2,pro-Israel/anti-Hamas
"“Are you October 7th Hamas?” “Uhhh…. no I’m a different day Hamas?” “Ok no worries, we’re only looking for Hamas involved in the attacks on October 7th, thanks for your honesty.”",28,2,pro-Israel/anti-Hamas
Youtube is deleting comments here.,4,2,pro-Israel/anti-Hamas
That woman was told if she said anything negitive about Hamas her husband would suffer,18,1,pro-Israel/anti-Hamas
Play the whole video where she said she was treated fairly and well. Why are you picking and choosing snippets of what the hostage said,1,0,pro-Israel/anti-Hamas
"Let’s take a quick look at population density in some places: London - 13,410 people per square mile Gaza City -15,600 people per square mile Jerusalem Israel-21,988 people per square mile Bangladesh - 80,000 people per square mile",39,19,pro-Israel/anti-Hamas
"$10,000 cash and an apartment in Gaza??? 1. There are no more apartments in Gaza. Gaza don’t exist anymore. 2. ??? JUST WHAT ARE YOU GOING TO BUY WITH ALL THAT CASH ???!! Broken rubble ?? No food ?? Am I missing anything here ???",1,0,pro-Israel/anti-Hamas
"They mentioned their religion seeking for mercy, but they didn’t do the same nor they wouldn’t. I believe much of what they say.",3,0,pro-Israel/anti-Hamas
What about all the Palestinian woman and children men and elderly that are kept Hostage in Gaza and in Israel as prisoners of war no one talks about that,2,1,pro-Israel/anti-Hamas
No one has mentioned the Balfour Declaration as it relates to this conflict. I wonder what that could mean……,1,0,pro-Israel/anti-Hamas
que verguenza para este mundo....,1,0,pro-Israel/anti-Hamas
Not sure we need to state all and each military move. Everyone hears.,1,0,pro-Israel/anti-Hamas
Click bait title,4,0,pro-Israel/anti-Hamas
Why they cut the video she was explaining what is was like ️,1,0,pro-Israel/anti-Hamas
Republicans should tell bob menendez to resign. Why aren't they?.,9,1,pro-Israel/anti-Hamas
Fake news as usaul. Where is the clip of that old lady mentioning she was being taken care of? Also where she shakes the hand of the Hamas soldier? Free Palestine,2,0,pro-Israel/anti-Hamas
So you report this yet cannot comnent on hamas unless it fits the narrative,2,0,pro-Israel/anti-Hamas
"I keep hearing the Gaza civilians are not Hamas. But I have yet to hear of any group of Gaza’s civilians resisting or fighting to free Gaza from the Hamas terrorists. If They are victims, why is none apparently fighting back?",1,1,pro-Gaza/Palestine
What happened to .....,1,0,pro-Israel/anti-Hamas
Why didn’t y’all show the whole Clip?,0,0,pro-Israel/anti-Hamas
Lgbtqp will be upset about this news,4,0,pro-Israel/anti-Hamas
Why would they let news like this out?,0,0,pro-Israel/anti-Hamas
Reminds me of black September,1,0,pro-Israel/anti-Hamas
what did the people of gaza think hamas was doing digging up turnips ?,2,0,pro-Israel/anti-Hamas
"thats not hostage negotiator LOL thats raytheon spoke person, he is selling war and weapon, encouraging to go on war.",1,0,pro-Israel/anti-Hamas
Why stop there!,0,0,pro-Israel/anti-Hamas
Should we know about this?,0,0,pro-Israel/anti-Hamas
These News channels are losing their credibility and with good reason. I finally understand why the US tried to ban Tiktok.,9,0,pro-Israel/anti-Hamas
Where is the part where she says they were kind to her? And where she actually shook the hand of a hamas member?,7,4,pro-Israel/anti-Hamas
"Before the Jan 2006 election, Hamas toned down its manifesto to make them more appealing to the electorate by announcing that it would refrain from attacks on Israel if Israel were to desist from its offensive against Palestinian towns and villages. Its election manifesto dropped the Islamic agenda, spoke of sovereignty for the Palestinian territories, including Jerusalem (an implicit endorsement of the two-state solution), while conceding nothing about its claims to all of Palestine. Most Palestinians have never voted in any election, let alone voted for Hamas. 52.3% of Palestinians are under 18, most of whom were not even born when the last election was held in Jan 2006. Hamas won the election in Jan 2006 with 44% of the vote compared to Fatah's 41%. 56% did not vote for Hamas. In the June 2007 Battle of Gaza (600 Palestinian dead), Hamas exploited the near total collapse of Palestinian Authority forces in Gaza to seize control of Gaza, ousting Fatah officials. Hamas militants seized several Fatah members and threw one of them, Mohammed Sweirki, an officer in the elite Presidential Guard, off the top of the tallest building in Gaza, a 15-storey apartment building. Hamas has not held any elections since then. No elections for over SEVENTEEN YEARS. According to the latest Washington Institute polling, conducted in July 2023: Hamas’s decision to break the ceasefire was not a popular move. While the majority of Gazans (65%) did think it likely that there would be “a large military conflict between Israel and Hamas in Gaza” this year, 62% supported Hamas maintaining a ceasefire with Israel, 50% agreed with the following proposal: “Hamas should stop calling for Israel’s destruction, and instead accept a permanent two-state solution based on the 1967 borders.” Moreover, across the region, Hamas has lost popularity over time among many Arab publics. This decline in popularity may have been one of the motivating factors behind the group’s decision to attack. 73% believed the Hamas government to be corrupt. Yet, Gazans saw little hope for electoral change. With no election since 2006, a majority of Gazans alive today were not old enough to have voted for Hamas. Support of armed resistance was not always present. When Hamas openly fought the Palestinian Authority – which governs the West Bank and questioned the legitimacy of Hamas’ victory – and seized control over the Gaza Strip in 2007, over 73% of Palestinians opposed that seizure and any further armed conflict. At that time, fewer than one-third of Gazans supported any military action against Israel. Over 80% condemned kidnapping, arson and indiscriminate violence.",22,5,pro-Gaza/Palestine
No one realized they let the daughter speak about barbaric treatment but they didn't include her own experience. She literally said she was treated well. Hamas kept her fed and clean. Just so you know,7,0,pro-Israel/anti-Hamas
Vietnam 2.0 :The sand jungle,1,0,pro-Israel/anti-Hamas
"Starts humming ""Raid On Entebbe"" theme...",0,0,pro-Israel/anti-Hamas
